DNI;PLAZOMESESCREDITO;HISTORIALCREDITO;PROPOSITOCREDITO;MONTOCREDITO;SALDOCUENTAAHORROS;TIEMPOEMPLEO;TASAPAGO;ESTADOCIVILYSEXO;GARANTE;AVALUOVIVIENDA;ACTIVOS;EDAD;VIVIENDA;CANTIDADCREDITOSEXISTENTES;EMPLEO;TRABAJADOREXTRANJERO;TIPOCLIENTE
104600025;10;A34;A42;2069.0;A65;A73;2.0;A94;A101;1.0;A123;26;A152;2;A173;A202;1
104600026;6;A32;A42;1374.0;A61;A73;1.0;A93;A101;2.0;A121;36;A152;1;A172;A201;1
104600027;6;A30;A43;426.0;A61;A75;4.0;A94;A101;4.0;A123;39;A152;1;A172;A201;1
104600028;12;A31;A43;409.0;A64;A73;3.0;A92;A101;3.0;A121;42;A151;2;A173;A201;1
104600029;7;A32;A43;2415.0;A61;A73;3.0;A93;A103;2.0;A121;34;A152;1;A173;A201;1
104600030;60;A33;A49;6836.0;A61;A75;3.0;A93;A101;4.0;A124;63;A152;2;A173;A201;2
104600031;18;A32;A49;1913.0;A64;A72;3.0;A94;A101;3.0;A121;36;A152;1;A173;A201;1
104600032;24;A32;A42;4020.0;A61;A73;2.0;A93;A101;2.0;A123;27;A152;1;A173;A201;1
104600033;18;A32;A40;5866.0;A62;A73;2.0;A93;A101;2.0;A123;30;A152;2;A173;A201;1
104600034;12;A34;A49;1264.0;A65;A75;4.0;A93;A101;4.0;A124;57;A151;1;A172;A201;1
104600035;12;A32;A42;1474.0;A61;A72;4.0;A92;A101;1.0;A122;33;A152;1;A174;A201;1
104600036;45;A34;A43;4746.0;A61;A72;4.0;A93;A101;2.0;A122;25;A152;2;A172;A201;2
104600037;48;A34;A46;6110.0;A61;A73;1.0;A93;A101;3.0;A124;31;A153;1;A173;A201;1
104600038;18;A32;A43;2100.0;A61;A73;4.0;A93;A102;2.0;A121;37;A152;1;A173;A201;2
104600039;10;A32;A44;1225.0;A61;A73;2.0;A93;A101;2.0;A123;37;A152;1;A173;A201;1
104600040;9;A32;A43;458.0;A61;A73;4.0;A93;A101;3.0;A121;24;A152;1;A173;A201;1
104600041;30;A32;A43;2333.0;A63;A75;4.0;A93;A101;2.0;A123;30;A152;1;A174;A201;1
104600042;12;A32;A43;1158.0;A63;A73;3.0;A91;A101;1.0;A123;26;A152;1;A173;A201;1
104600043;18;A33;A45;6204.0;A61;A73;2.0;A93;A101;4.0;A121;44;A152;1;A172;A201;1
104600044;30;A34;A41;6187.0;A62;A74;1.0;A94;A101;4.0;A123;24;A151;2;A173;A201;1
104600045;48;A34;A41;6143.0;A61;A75;4.0;A92;A101;4.0;A124;58;A153;2;A172;A201;2
104600046;11;A34;A40;1393.0;A61;A72;4.0;A92;A101;4.0;A123;35;A152;2;A174;A201;1
104600047;36;A32;A43;2299.0;A63;A75;4.0;A93;A101;4.0;A123;39;A152;1;A173;A201;1
104600048;6;A32;A41;1352.0;A63;A71;1.0;A92;A101;2.0;A122;23;A151;1;A171;A201;1
104600049;11;A34;A40;7228.0;A61;A73;1.0;A93;A101;4.0;A122;39;A152;2;A172;A201;1
104600050;12;A32;A43;2073.0;A62;A73;4.0;A92;A102;2.0;A121;28;A152;1;A173;A201;1
104600051;24;A33;A42;2333.0;A65;A72;4.0;A93;A101;2.0;A122;29;A152;1;A172;A201;1
104600052;27;A33;A41;5965.0;A61;A75;1.0;A93;A101;2.0;A123;30;A152;2;A174;A201;1
104600053;12;A32;A43;1262.0;A61;A73;3.0;A93;A101;2.0;A123;25;A152;1;A173;A201;1
104600054;18;A32;A41;3378.0;A65;A73;2.0;A93;A101;1.0;A122;31;A152;1;A173;A201;1
104600055;36;A33;A40;2225.0;A61;A75;4.0;A93;A101;4.0;A124;57;A153;2;A173;A201;2
104600056;6;A31;A40;783.0;A65;A73;1.0;A93;A103;2.0;A121;26;A152;1;A172;A201;1
104600057;12;A32;A43;6468.0;A65;A71;2.0;A93;A101;1.0;A124;52;A152;1;A174;A201;2
104600058;36;A34;A43;9566.0;A61;A73;2.0;A92;A101;2.0;A123;31;A152;2;A173;A201;1
104600059;18;A32;A40;1961.0;A61;A75;3.0;A92;A101;2.0;A123;23;A152;1;A174;A201;1
104600060;36;A34;A42;6229.0;A61;A72;4.0;A92;A102;4.0;A124;23;A151;2;A172;A201;2
104600061;9;A32;A49;1391.0;A61;A73;2.0;A94;A101;1.0;A121;27;A152;1;A173;A201;1
104600062;15;A34;A43;1537.0;A65;A75;4.0;A93;A103;4.0;A121;50;A152;2;A173;A201;1
104600063;36;A30;A49;1953.0;A61;A75;4.0;A93;A101;4.0;A124;61;A153;1;A174;A201;2
104600064;48;A30;A49;14421.0;A61;A73;2.0;A93;A101;2.0;A123;25;A152;1;A173;A201;2
104600065;24;A32;A43;3181.0;A61;A72;4.0;A92;A101;4.0;A122;26;A152;1;A173;A201;1
104600066;27;A32;A45;5190.0;A65;A75;4.0;A93;A101;4.0;A122;48;A152;4;A173;A201;1
104600067;12;A32;A43;2171.0;A61;A72;2.0;A92;A101;2.0;A123;29;A152;1;A173;A201;1
104600068;12;A32;A40;1007.0;A64;A73;4.0;A94;A101;1.0;A121;22;A152;1;A173;A201;1
104600069;36;A32;A46;1819.0;A61;A73;4.0;A93;A101;4.0;A124;37;A153;1;A173;A201;2
104600070;36;A32;A43;2394.0;A65;A73;4.0;A92;A101;4.0;A123;25;A152;1;A173;A201;1
104600071;36;A32;A41;8133.0;A61;A73;1.0;A92;A101;2.0;A122;30;A152;1;A173;A201;1
104600072;7;A34;A43;730.0;A65;A75;4.0;A93;A101;2.0;A122;46;A151;2;A172;A201;1
104600073;8;A34;A410;1164.0;A61;A75;3.0;A93;A101;4.0;A124;51;A153;2;A174;A201;1
104600074;42;A34;A49;5954.0;A61;A74;2.0;A92;A101;1.0;A121;41;A152;2;A172;A201;1
104600075;36;A32;A46;1977.0;A65;A75;4.0;A93;A101;4.0;A124;40;A152;1;A174;A201;2
104600076;12;A34;A41;1526.0;A61;A75;4.0;A93;A101;4.0;A124;66;A153;2;A174;A201;1
104600077;42;A32;A43;3965.0;A61;A72;4.0;A93;A101;3.0;A123;34;A152;1;A173;A201;2
104600078;11;A33;A43;4771.0;A61;A74;2.0;A93;A101;4.0;A122;51;A152;1;A173;A201;1
104600079;54;A30;A41;9436.0;A65;A73;2.0;A93;A101;2.0;A122;39;A152;1;A172;A201;1
104600080;30;A32;A42;3832.0;A61;A72;2.0;A94;A101;1.0;A122;22;A152;1;A173;A201;1
104600081;24;A32;A43;5943.0;A65;A72;1.0;A92;A101;1.0;A123;44;A152;2;A173;A201;2
104600082;15;A32;A43;1213.0;A63;A75;4.0;A93;A101;3.0;A122;47;A152;1;A173;A201;1
104600083;18;A32;A49;1568.0;A62;A73;3.0;A92;A101;4.0;A122;24;A151;1;A172;A201;1
104600084;24;A32;A410;1755.0;A61;A75;4.0;A92;A103;4.0;A121;58;A152;1;A172;A201;1
104600085;10;A32;A43;2315.0;A61;A75;3.0;A93;A101;4.0;A121;52;A152;1;A172;A201;1
104600086;12;A34;A49;1412.0;A61;A73;4.0;A92;A103;2.0;A121;29;A152;2;A174;A201;1
104600087;18;A34;A42;1295.0;A61;A72;4.0;A92;A101;1.0;A122;27;A152;2;A173;A201;1
104600088;36;A32;A46;12612.0;A62;A73;1.0;A93;A101;4.0;A124;47;A153;1;A173;A201;2
104600089;18;A32;A40;2249.0;A62;A74;4.0;A93;A101;3.0;A123;30;A152;1;A174;A201;1
104600090;12;A30;A45;1108.0;A61;A74;4.0;A93;A101;3.0;A121;28;A152;2;A173;A201;2
104600091;12;A34;A43;618.0;A61;A75;4.0;A93;A101;4.0;A121;56;A152;1;A173;A201;1
104600092;12;A34;A41;1409.0;A61;A75;4.0;A93;A101;3.0;A121;54;A152;1;A173;A201;1
104600093;12;A34;A43;797.0;A65;A75;4.0;A92;A101;3.0;A122;33;A152;1;A172;A201;2
104600094;24;A34;A42;3617.0;A65;A75;4.0;A93;A102;4.0;A124;20;A151;2;A173;A201;1
104600095;12;A32;A40;1318.0;A64;A75;4.0;A93;A101;4.0;A121;54;A152;1;A173;A201;1
104600096;54;A30;A49;15945.0;A61;A72;3.0;A93;A101;4.0;A124;58;A151;1;A173;A201;2
104600097;12;A34;A46;2012.0;A65;A74;4.0;A92;A101;2.0;A123;61;A152;1;A173;A201;1
104600098;18;A32;A49;2622.0;A62;A73;4.0;A93;A101;4.0;A123;34;A152;1;A173;A201;1
104600099;36;A34;A43;2337.0;A61;A75;4.0;A93;A101;4.0;A121;36;A152;1;A173;A201;1
104600100;20;A33;A41;7057.0;A65;A74;3.0;A93;A101;4.0;A122;36;A151;2;A174;A201;1
104600101;24;A32;A40;1469.0;A62;A75;4.0;A94;A101;4.0;A121;41;A151;1;A172;A201;1
104600102;36;A32;A43;2323.0;A61;A74;4.0;A93;A101;4.0;A123;24;A151;1;A173;A201;1
104600103;6;A33;A43;932.0;A61;A73;3.0;A92;A101;2.0;A121;24;A152;1;A173;A201;1
104600104;9;A34;A42;1919.0;A61;A74;4.0;A93;A101;3.0;A123;35;A151;1;A173;A201;1
104600105;12;A32;A41;2445.0;A65;A72;2.0;A94;A101;4.0;A123;26;A151;1;A173;A201;1
104600106;24;A34;A410;11938.0;A61;A73;2.0;A93;A102;3.0;A123;39;A152;2;A174;A201;2
104600107;18;A31;A40;6458.0;A61;A75;2.0;A93;A101;4.0;A124;39;A152;2;A174;A201;2
104600108;12;A32;A40;6078.0;A61;A74;2.0;A93;A101;2.0;A123;32;A152;1;A173;A201;1
104600109;24;A32;A42;7721.0;A65;A72;1.0;A92;A101;2.0;A122;30;A152;1;A173;A202;1
104600110;14;A32;A49;1410.0;A63;A75;1.0;A94;A101;2.0;A121;35;A152;1;A173;A201;1
104600111;6;A33;A49;1449.0;A62;A75;1.0;A91;A101;2.0;A123;31;A152;2;A173;A201;1
104600112;15;A32;A46;392.0;A61;A72;4.0;A92;A101;4.0;A122;23;A151;1;A173;A201;1
104600113;18;A32;A40;6260.0;A61;A74;3.0;A93;A101;3.0;A121;28;A151;1;A172;A201;1
104600114;36;A34;A40;7855.0;A61;A73;4.0;A92;A101;2.0;A121;25;A152;2;A173;A201;2
104600115;12;A32;A43;1680.0;A63;A75;3.0;A94;A101;1.0;A121;35;A152;1;A173;A201;1
104600116;48;A34;A43;3578.0;A65;A75;4.0;A93;A101;1.0;A121;47;A152;1;A173;A201;1
104600117;42;A32;A43;7174.0;A65;A74;4.0;A92;A101;3.0;A123;30;A152;1;A174;A201;2
104600118;10;A34;A42;2132.0;A65;A72;2.0;A92;A102;3.0;A121;27;A151;2;A173;A202;1
104600119;33;A34;A42;4281.0;A63;A73;1.0;A92;A101;4.0;A123;23;A152;2;A173;A201;2
104600120;12;A34;A40;2366.0;A63;A74;3.0;A91;A101;3.0;A123;36;A152;1;A174;A201;1
104600121;21;A32;A43;1835.0;A61;A73;3.0;A92;A101;2.0;A121;25;A152;2;A173;A201;2
104600122;24;A34;A41;3868.0;A61;A75;4.0;A92;A101;2.0;A123;41;A151;2;A174;A201;1
104600123;12;A32;A42;1768.0;A61;A73;3.0;A93;A101;2.0;A121;24;A151;1;A172;A201;1
104600124;10;A34;A40;781.0;A61;A75;4.0;A93;A101;4.0;A124;63;A153;2;A173;A201;1
104600125;18;A32;A42;1924.0;A65;A72;4.0;A92;A101;3.0;A121;27;A151;1;A173;A201;2
104600126;12;A34;A40;2121.0;A61;A73;4.0;A93;A101;2.0;A122;30;A152;2;A173;A201;1
104600127;12;A32;A43;701.0;A61;A73;4.0;A94;A101;2.0;A121;40;A152;1;A172;A201;1
104600128;12;A32;A45;639.0;A61;A73;4.0;A93;A101;2.0;A123;30;A152;1;A173;A201;2
104600129;12;A34;A41;1860.0;A61;A71;4.0;A93;A101;2.0;A123;34;A152;2;A174;A201;1
104600130;12;A34;A40;3499.0;A61;A73;3.0;A92;A102;2.0;A121;29;A152;2;A173;A201;2
104600131;48;A32;A40;8487.0;A65;A74;1.0;A92;A101;2.0;A123;24;A152;1;A173;A201;1
104600132;36;A33;A46;6887.0;A61;A73;4.0;A93;A101;3.0;A122;29;A152;1;A173;A201;2
104600133;15;A32;A42;2708.0;A61;A72;2.0;A93;A101;3.0;A122;27;A152;2;A172;A201;1
104600134;18;A32;A42;1984.0;A61;A73;4.0;A93;A101;4.0;A124;47;A153;2;A173;A201;1
104600135;60;A32;A43;10144.0;A62;A74;2.0;A92;A101;4.0;A121;21;A152;1;A173;A201;1
104600136;12;A34;A43;1240.0;A65;A75;4.0;A92;A101;2.0;A121;38;A152;2;A173;A201;1
104600137;27;A33;A41;8613.0;A64;A73;2.0;A93;A101;2.0;A123;27;A152;2;A173;A201;1
104600138;12;A32;A43;766.0;A63;A73;4.0;A93;A101;3.0;A121;66;A152;1;A172;A201;2
104600139;15;A34;A43;2728.0;A65;A74;4.0;A93;A103;2.0;A121;35;A152;3;A173;A201;1
104600140;12;A32;A43;1881.0;A61;A73;2.0;A92;A101;2.0;A123;44;A151;1;A172;A201;1
104600141;6;A32;A40;709.0;A64;A72;2.0;A94;A101;2.0;A121;27;A152;1;A171;A202;1
104600142;36;A32;A43;4795.0;A61;A72;4.0;A92;A101;1.0;A124;30;A152;1;A174;A201;1
104600143;27;A32;A43;3416.0;A61;A73;3.0;A93;A101;2.0;A123;27;A152;1;A174;A201;1
104600144;18;A32;A42;2462.0;A61;A73;2.0;A93;A101;2.0;A123;22;A152;1;A173;A201;2
104600145;21;A34;A42;2288.0;A61;A72;4.0;A92;A101;4.0;A122;23;A152;1;A173;A201;1
104600146;48;A31;A49;3566.0;A62;A74;4.0;A93;A101;2.0;A123;30;A152;1;A173;A201;1
104600147;6;A34;A40;860.0;A61;A75;1.0;A92;A101;4.0;A124;39;A152;2;A173;A201;1
104600148;12;A34;A40;682.0;A62;A74;4.0;A92;A101;3.0;A123;51;A152;2;A173;A201;1
104600149;36;A34;A42;5371.0;A61;A73;3.0;A93;A103;2.0;A122;28;A152;2;A173;A201;1
104600150;18;A34;A43;1582.0;A64;A75;4.0;A93;A101;4.0;A123;46;A152;2;A173;A201;1
104600151;6;A32;A43;1346.0;A62;A75;2.0;A93;A101;4.0;A124;42;A153;1;A173;A201;1
104600152;10;A32;A43;1924.0;A61;A73;1.0;A93;A101;4.0;A122;38;A152;1;A173;A202;1
104600153;36;A32;A43;5848.0;A61;A73;4.0;A93;A101;1.0;A123;24;A152;1;A173;A201;1
104600154;24;A34;A41;7758.0;A64;A75;2.0;A92;A101;4.0;A124;29;A151;1;A173;A201;1
104600155;24;A33;A49;6967.0;A62;A74;4.0;A93;A101;4.0;A123;36;A151;1;A174;A201;1
104600156;12;A32;A42;1282.0;A61;A73;2.0;A92;A101;4.0;A123;20;A151;1;A173;A201;2
104600157;9;A34;A45;1288.0;A62;A75;3.0;A93;A103;4.0;A121;48;A152;2;A173;A202;1
104600158;12;A31;A48;339.0;A61;A75;4.0;A94;A101;1.0;A123;45;A152;1;A172;A201;1
104600159;24;A32;A40;3512.0;A62;A74;2.0;A93;A101;3.0;A123;38;A152;2;A173;A201;1
104600160;6;A34;A43;1898.0;A65;A73;1.0;A93;A101;2.0;A121;34;A152;2;A172;A201;1
104600161;24;A34;A43;2872.0;A62;A75;3.0;A93;A101;4.0;A121;36;A152;1;A173;A201;1
104600162;18;A34;A40;1055.0;A61;A72;4.0;A92;A101;1.0;A122;30;A152;2;A173;A201;1
104600163;15;A32;A44;1262.0;A63;A74;4.0;A93;A101;3.0;A122;36;A152;2;A173;A201;1
104600164;10;A32;A40;7308.0;A61;A71;2.0;A93;A101;4.0;A124;70;A153;1;A174;A201;1
104600165;36;A32;A40;909.0;A63;A75;4.0;A93;A101;4.0;A122;36;A152;1;A173;A201;1
104600166;6;A32;A42;2978.0;A63;A73;1.0;A93;A101;2.0;A123;32;A152;1;A173;A201;1
104600167;18;A32;A42;1131.0;A61;A71;4.0;A92;A101;2.0;A123;33;A152;1;A173;A201;2
104600168;11;A32;A42;1577.0;A64;A72;4.0;A92;A101;1.0;A121;20;A152;1;A173;A201;1
104600169;24;A32;A42;3972.0;A61;A74;2.0;A92;A101;4.0;A122;25;A151;1;A173;A201;1
104600170;24;A34;A49;1935.0;A61;A75;4.0;A91;A101;4.0;A121;31;A152;2;A173;A201;2
104600171;15;A30;A40;950.0;A61;A75;4.0;A93;A101;3.0;A123;33;A151;2;A173;A201;2
104600172;12;A32;A42;763.0;A61;A73;4.0;A92;A101;1.0;A121;26;A152;1;A173;A201;1
104600173;24;A33;A42;2064.0;A61;A71;3.0;A92;A101;2.0;A122;34;A152;1;A174;A201;2
104600174;8;A32;A43;1414.0;A61;A73;4.0;A93;A103;2.0;A121;33;A152;1;A173;A202;1
104600175;21;A33;A46;3414.0;A61;A72;2.0;A93;A101;1.0;A122;26;A152;2;A173;A201;2
104600176;30;A31;A41;7485.0;A65;A71;4.0;A92;A101;1.0;A121;53;A152;1;A174;A201;2
104600177;12;A32;A42;2577.0;A61;A73;2.0;A91;A101;1.0;A123;42;A152;1;A173;A201;1
104600178;6;A34;A43;338.0;A63;A75;4.0;A93;A101;4.0;A123;52;A152;2;A173;A201;1
104600179;12;A32;A43;1963.0;A61;A74;4.0;A93;A101;2.0;A123;31;A151;2;A174;A201;1
104600180;21;A34;A40;571.0;A61;A75;4.0;A93;A101;4.0;A121;65;A152;2;A173;A201;1
104600181;36;A33;A49;9572.0;A61;A72;1.0;A91;A101;1.0;A123;28;A152;2;A173;A201;2
104600182;36;A33;A49;4455.0;A61;A73;2.0;A91;A101;2.0;A121;30;A152;2;A174;A201;2
104600183;21;A31;A40;1647.0;A65;A73;4.0;A93;A101;2.0;A122;40;A152;2;A172;A201;2
104600184;24;A34;A42;3777.0;A64;A73;4.0;A93;A101;4.0;A121;50;A152;1;A173;A201;1
104600185;18;A34;A40;884.0;A61;A75;4.0;A93;A101;4.0;A123;36;A152;1;A173;A201;2
104600186;15;A34;A43;1360.0;A61;A73;4.0;A93;A101;2.0;A122;31;A152;2;A173;A201;1
104600187;9;A31;A41;5129.0;A61;A75;2.0;A92;A101;4.0;A124;74;A153;1;A174;A201;2
104600188;16;A34;A40;1175.0;A61;A71;2.0;A93;A101;3.0;A123;68;A153;3;A171;A201;1
104600189;12;A32;A43;674.0;A62;A74;4.0;A94;A101;1.0;A122;20;A152;1;A173;A201;2
104600190;18;A30;A42;3244.0;A61;A73;1.0;A92;A101;4.0;A123;33;A152;2;A173;A201;1
104600191;24;A32;A49;4591.0;A64;A73;2.0;A93;A101;3.0;A122;54;A152;3;A174;A201;2
104600192;48;A30;A49;3844.0;A62;A74;4.0;A93;A101;4.0;A124;34;A153;1;A172;A201;2
104600193;27;A32;A49;3915.0;A61;A73;4.0;A93;A101;2.0;A123;36;A152;1;A173;A201;2
104600194;6;A32;A43;2108.0;A61;A74;2.0;A94;A101;2.0;A121;29;A151;1;A173;A201;1
104600195;45;A32;A43;3031.0;A62;A73;4.0;A93;A103;4.0;A122;21;A151;1;A173;A201;2
104600196;9;A34;A46;1501.0;A61;A75;2.0;A92;A101;3.0;A123;34;A152;2;A174;A201;2
104600197;6;A34;A43;1382.0;A61;A73;1.0;A92;A101;1.0;A123;28;A152;2;A173;A201;1
104600198;12;A32;A42;951.0;A62;A72;4.0;A92;A101;4.0;A123;27;A151;4;A173;A201;2
104600199;24;A32;A41;2760.0;A65;A75;4.0;A93;A101;4.0;A124;36;A153;1;A173;A201;1
104600200;18;A33;A42;4297.0;A61;A75;4.0;A91;A101;3.0;A124;40;A152;1;A174;A201;2
104600201;9;A34;A46;936.0;A63;A75;4.0;A93;A101;2.0;A123;52;A152;2;A173;A201;1
104600202;12;A32;A40;1168.0;A61;A73;4.0;A94;A101;3.0;A121;27;A152;1;A172;A201;1
104600203;27;A33;A49;5117.0;A61;A74;3.0;A93;A101;4.0;A123;26;A152;2;A173;A201;1
104600204;12;A32;A48;902.0;A61;A74;4.0;A94;A101;4.0;A122;21;A151;1;A173;A201;2
104600205;12;A34;A40;1495.0;A61;A75;4.0;A93;A101;1.0;A121;38;A152;2;A172;A201;1
104600206;30;A34;A41;10623.0;A61;A75;3.0;A93;A101;4.0;A124;38;A153;3;A174;A201;1
104600207;12;A34;A42;1935.0;A61;A75;4.0;A93;A101;4.0;A121;43;A152;3;A173;A201;1
104600208;12;A34;A44;1424.0;A61;A74;4.0;A93;A101;3.0;A122;26;A152;1;A173;A201;1
104600209;24;A32;A49;6568.0;A61;A73;2.0;A94;A101;2.0;A123;21;A152;1;A172;A201;1
104600210;12;A32;A41;1413.0;A64;A74;3.0;A93;A101;2.0;A122;55;A152;1;A173;A202;1
104600211;9;A34;A43;3074.0;A65;A73;1.0;A93;A101;2.0;A121;33;A152;2;A173;A201;1
104600212;36;A32;A43;3835.0;A65;A75;2.0;A92;A101;4.0;A121;45;A152;1;A172;A201;1
104600213;27;A30;A49;5293.0;A61;A71;2.0;A93;A101;4.0;A122;50;A152;2;A173;A201;2
104600214;30;A33;A49;1908.0;A61;A75;4.0;A93;A101;4.0;A121;66;A152;1;A174;A201;2
104600215;36;A34;A43;3342.0;A65;A75;4.0;A93;A101;2.0;A123;51;A152;1;A173;A201;1
104600216;6;A34;A48;932.0;A65;A74;1.0;A92;A101;3.0;A122;39;A152;2;A172;A201;1
104600217;18;A30;A49;3104.0;A61;A74;3.0;A93;A101;1.0;A122;31;A152;1;A173;A201;1
104600218;36;A32;A43;3913.0;A61;A73;2.0;A93;A101;2.0;A121;23;A152;1;A173;A201;1
104600219;24;A32;A42;3021.0;A61;A73;2.0;A91;A101;2.0;A121;24;A151;1;A172;A201;1
104600220;10;A32;A40;1364.0;A61;A73;2.0;A92;A101;4.0;A123;64;A152;1;A173;A201;1
104600221;12;A32;A43;625.0;A61;A72;4.0;A94;A103;1.0;A121;26;A152;1;A172;A201;1
104600222;12;A32;A46;1200.0;A65;A73;4.0;A92;A101;4.0;A122;23;A151;1;A173;A201;1
104600223;12;A32;A43;707.0;A61;A73;4.0;A93;A101;2.0;A121;30;A152;2;A173;A201;1
104600224;24;A33;A49;2978.0;A65;A73;4.0;A93;A101;4.0;A121;32;A152;2;A173;A201;1
104600225;15;A32;A41;4657.0;A61;A73;3.0;A93;A101;2.0;A123;30;A152;1;A173;A201;1
104600226;36;A30;A45;2613.0;A61;A73;4.0;A93;A101;2.0;A123;27;A152;2;A173;A201;1
104600227;48;A32;A43;10961.0;A64;A74;1.0;A93;A102;2.0;A124;27;A152;2;A173;A201;2
104600228;12;A32;A42;7865.0;A61;A75;4.0;A93;A101;4.0;A124;53;A153;1;A174;A201;2
104600229;9;A32;A43;1478.0;A61;A74;4.0;A93;A101;2.0;A123;22;A152;1;A173;A201;2
104600230;24;A32;A42;3149.0;A61;A72;4.0;A93;A101;1.0;A124;22;A153;1;A173;A201;1
104600231;36;A32;A43;4210.0;A61;A73;4.0;A93;A101;2.0;A123;26;A152;1;A173;A201;2
104600232;9;A32;A40;2507.0;A63;A75;2.0;A93;A101;4.0;A124;51;A153;1;A172;A201;1
104600233;12;A32;A43;2141.0;A62;A74;3.0;A93;A101;1.0;A124;35;A152;1;A173;A201;1
104600234;18;A32;A43;866.0;A61;A73;4.0;A94;A103;2.0;A121;25;A152;1;A172;A201;1
104600235;4;A34;A43;1544.0;A61;A74;2.0;A93;A101;1.0;A121;42;A152;3;A172;A201;1
104600236;24;A32;A43;1823.0;A61;A71;4.0;A93;A101;2.0;A123;30;A152;1;A174;A201;2
104600237;6;A32;A40;14555.0;A65;A71;1.0;A93;A101;2.0;A122;23;A152;1;A171;A201;2
104600238;21;A32;A49;2767.0;A62;A75;4.0;A91;A101;2.0;A123;61;A151;2;A172;A201;2
104600239;12;A34;A43;1291.0;A61;A73;4.0;A92;A101;2.0;A122;35;A152;2;A173;A201;1
104600240;30;A32;A43;2522.0;A61;A75;1.0;A93;A103;3.0;A122;39;A152;1;A173;A201;1
104600241;24;A32;A40;915.0;A65;A75;4.0;A92;A101;2.0;A123;29;A152;1;A173;A201;2
104600242;6;A32;A43;1595.0;A61;A74;3.0;A93;A101;2.0;A122;51;A152;1;A173;A201;1
104600243;48;A30;A41;4605.0;A61;A75;3.0;A93;A101;4.0;A124;24;A153;2;A173;A201;2
104600244;12;A34;A49;1185.0;A61;A73;3.0;A92;A101;2.0;A121;27;A152;2;A173;A201;1
104600245;12;A31;A48;3447.0;A63;A73;4.0;A92;A101;3.0;A121;35;A152;1;A172;A201;1
104600246;24;A32;A49;1258.0;A61;A74;4.0;A93;A101;1.0;A121;25;A152;1;A173;A201;1
104600247;12;A34;A43;717.0;A61;A75;4.0;A93;A101;4.0;A121;52;A152;3;A173;A201;1
